TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
67037083,ALIEN SHIT,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/22/2024,WORKS REGISTRATION,T3249731902,Reconciled
67037083,ALIEN SHIT,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249731902,Reconciled
67037083,ALIEN SHIT,W," ",DOWNEY CHASE RYAN MR,100.00,01088747017,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249731902,Reconciled
67037116,TAKE ME UP,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/22/2024,WORKS REGISTRATION,T3249731582,Reconciled
67037116,TAKE ME UP,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249731582,Reconciled
67037123,COSMIC SOUNDS,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/22/2024,WORKS REGISTRATION,T3249731764,Reconciled
67037123,COSMIC SOUNDS,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249731764,Reconciled
67037125,I M A SAVAGE,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/22/2024,WORKS REGISTRATION,T3249731708,Reconciled
67037125,I M A SAVAGE,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249731708,Reconciled
67037160,MOVE BACK,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037160,MOVE BACK,W," ",DESMET MAARTEN,100.00,"           ","NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037160,MOVE BACK,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037190,COME GET SOME,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037190,COME GET SOME,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037190,COME GET SOME,W," ",DRAVECZ ANDREW,100.00,"           ","NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037194,BLAZIN,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037194,BLAZIN,W," ",GARBUTT SCOTT,100.00,"           ","NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037194,BLAZIN,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037223,STEP ASIDE,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/22/2024,WORKS REGISTRATION,T3249650355,Reconciled
67037223,STEP ASIDE,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249650355,Reconciled
67037229,SHAKE THE BLOCK,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/22/2024,WORKS REGISTRATION,T3249650139,Reconciled
67037229,SHAKE THE BLOCK,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249650139,Reconciled
67037232,BREAK THAT,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037232,BREAK THAT,W," ",MEADE JEFFREY,100.00,"           ","NA      ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037232,BREAK THAT,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",06/26/2024,WORKS REGISTRATION,"           ",Pending Society Review
67037234,WESTSIDE ROLLIN,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/22/2024,WORKS REGISTRATION,T3249650684,Reconciled
67037234,WESTSIDE ROLLIN,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",04/22/2024,WORKS REGISTRATION,T3249650684,Reconciled
67147288,ROLLERCOASTER,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/28/2024,WORKS REGISTRATION,T3252386639,Reconciled
67147288,ROLLERCOASTER,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",04/28/2024,WORKS REGISTRATION,T3252386639,Reconciled
67273633,JOURNEY,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",05/03/2024,WORKS REGISTRATION,T3252182513,Reconciled
67273633,JOURNEY,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",05/03/2024,WORKS REGISTRATION,T3252182513,Reconciled
67273652,FAT BLUNTZ,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",05/03/2024,WORKS REGISTRATION,T3252274474,Reconciled
67273652,FAT BLUNTZ,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",05/03/2024,WORKS REGISTRATION,T3252274474,Reconciled
67273656,LOSING MYSELF,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",05/03/2024,WORKS REGISTRATION,T3252274418,Reconciled
67273656,LOSING MYSELF,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",05/03/2024,WORKS REGISTRATION,T3252274418,Reconciled
