"PRIMARY TITLE","MLC SONG CODE","MEMBERS SONG ID","ISWC","AKA TITLE","AKA TITLE TYPE CODE","WRITER LAST NAME","WRITER FIRST NAME","WRITER IPI NUMBER","WRITER ROLE CODE","MLC PUBLISHER NUMBER","PUBLISHER NAME","PUBLISHER IPI NUMBER","ADMINISTRATOR MLC PUBLISHER NUMBER","ADMINISTRATOR NAME","COLLECTION SHARE","RECORDING TITLE","RECORDING ARTIST NAME","RECORDING ISRC","RECORDING LABEL"
"Radioactivity","","DSR-LAB-151","","","","Shaheen","Simon","","CA","","LAB10 Publishing","1262829440","","","100","Radioactivity","In Orbit Dubz","USLZJ2286474","DirtySnatcha Records"
"Back Rooms","","DSR-LAB-152","","","","Shaheen","Simon","","CA","","LAB10 Publishing","1262829440","","","100","Back Rooms","In Orbit Dubz","QZWDD2257316","DirtySnatcha Records"
"Fuck It Up","","DSR-LAB-153","","","","Shaheen","Simon","","CA","","LAB10 Publishing","1262829440","","","100","Fuck It Up","In Orbit Dubz","QZWDD2257318","DirtySnatcha Records"
"Nightmare","","DSR-LAB-154","","","","Shaheen","Simon","","CA","","LAB10 Publishing","1262829440","","","100","Nightmare","In Orbit Dubz","QZWDD2257336","DirtySnatcha Records"
"Hypnotize","","DSR-LAB-155","","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Hypnotize","In Orbit Dubz","QZZ8B2327916","DirtySnatcha Records"
"Hypnotize","","DSR-LAB-155","","","","Shaheen","Simon","","CA","","LAB10 Publishing","1262829440","","","100","Hypnotize","In Orbit Dubz","QZZ8B2327916","DirtySnatcha Records"
"Destroy","","DSR-LAB-156","","","","Shaheen","Simon","","CA","","LAB10 Publishing","1262829440","","","100","Destroy","In Orbit Dubz, DSTRTN","QZWDD2257331","DirtySnatcha Records"
"Destroy","","DSR-LAB-156","","","","Turcotte","Neil Bryden","","CA","","LAB10 Publishing","1262829440","","","100","Destroy","In Orbit Dubz, DSTRTN","QZWDD2257331","DirtySnatcha Records"
"Dimension","","DSR-LAB-157","","","","Shaheen","Simon","","CA","","LAB10 Publishing","1262829440","","","100","Dimension","In Orbit Dubz, Nein Lives","QZ5FN2266737","DirtySnatcha Records"
"Dimension","","DSR-LAB-157","","","","Frady","Derek","","CA","","LAB10 Publishing","1262829440","","","100","Dimension","In Orbit Dubz, Nein Lives","QZ5FN2266737","DirtySnatcha Records"
"Gamma Ray","","DSR-LAB-158","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Gamma Ray","JAYSYX","QZ5FN2032792","DirtySnatcha Records"
"Break It","","DSR-LAB-159","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Break It","JAYSYX","QZ5FN2082238","DirtySnatcha Records"
"Danger","","DSR-LAB-160","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Danger","JAYSYX, AG","USLZJ2069438","DirtySnatcha Records"
"Danger","","DSR-LAB-160","","","","Garcia","Andrew","","CA","","LAB10 Publishing","1262829440","","","100","Danger","JAYSYX, AG","USLZJ2069438","DirtySnatcha Records"
"Danger (Adam Annella Remix)","","DSR-LAB-161","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Adam Annella Remix)","JAYSYX, AG","GBRKQ2133612","DirtySnatcha Records"
"Danger (Adam Annella Remix)","","DSR-LAB-161","","","","Garcia","Andrew","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Adam Annella Remix)","JAYSYX, AG","GBRKQ2133612","DirtySnatcha Records"
"Danger (Elusion Remix)","","DSR-LAB-162","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Elusion Remix)","JAYSYX, AG","GBRKQ2133620","DirtySnatcha Records"
"Danger (Elusion Remix)","","DSR-LAB-162","","","","Garcia","Andrew","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Elusion Remix)","JAYSYX, AG","GBRKQ2133620","DirtySnatcha Records"
"Danger (Kamas Remix)","","DSR-LAB-163","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Kamas Remix)","JAYSYX, AG","GBRKQ2133617","DirtySnatcha Records"
"Danger (Kamas Remix)","","DSR-LAB-163","","","","Garcia","Andrew","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Kamas Remix)","JAYSYX, AG","GBRKQ2133617","DirtySnatcha Records"
"Danger (Kringe Remix)","","DSR-LAB-164","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Kringe Remix)","JAYSYX, AG","GBRKQ2133622","DirtySnatcha Records"
"Danger (Kringe Remix)","","DSR-LAB-164","","","","Garcia","Andrew","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Kringe Remix)","JAYSYX, AG","GBRKQ2133622","DirtySnatcha Records"
"Danger (Shoku Remix)","","DSR-LAB-165","","","","McLaughlin","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Shoku Remix)","JAYSYX, AG","GBRKQ2133619","DirtySnatcha Records"
"Danger (Shoku Remix)","","DSR-LAB-165","","","","Garcia","Andrew","","CA","","LAB10 Publishing","1262829440","","","100","Danger (Shoku Remix)","JAYSYX, AG","GBRKQ2133619","DirtySnatcha Records"
"Death Match","","DSR-LAB-166","","","","Wilson","Willliam","","CA","","LAB10 Publishing","1262829440","","","100","Death Match","Joogornot","USLZJ2162863","DirtySnatcha Records"
