"PRIMARY TITLE","MLC SONG CODE","MEMBERS SONG ID","ISWC","AKA TITLE","AKA TITLE TYPE CODE","WRITER LAST NAME","WRITER FIRST NAME","WRITER IPI NUMBER","WRITER ROLE CODE","MLC PUBLISHER NUMBER","PUBLISHER NAME","PUBLISHER IPI NUMBER","ADMINISTRATOR MLC PUBLISHER NUMBER","ADMINISTRATOR NAME","COLLECTION SHARE","RECORDING TITLE","RECORDING ARTIST NAME","RECORDING ISRC","RECORDING LABEL"
"All In","","DSR-LAB-182","","","","Thornton","Matthew Casey","","CA","","LAB10 Publishing","1262829440","","","100","All In","TruFeelz","QZ5FN2075138","DirtySnatcha Records"
"Torture","","DSR-LAB-183","","","","Page","Chad","","CA","","LAB10 Publishing","1262829440","","","100","Torture","Twisted, Chutez & Ladderz, R3mark","GBRKQ2224624","DirtySnatcha Records"
"Torture","","DSR-LAB-183","","","","White","Drew","","CA","","LAB10 Publishing","1262829440","","","100","Torture","Twisted, Chutez & Ladderz, R3mark","GBRKQ2224624","DirtySnatcha Records"
"Torture","","DSR-LAB-183","","","","Kramer","Jacob","","CA","","LAB10 Publishing","1262829440","","","100","Torture","Twisted, Chutez & Ladderz, R3mark","GBRKQ2224624","DirtySnatcha Records"
"Fate","","DSR-LAB-184","","","","Page","Chad","","CA","","LAB10 Publishing","1262829440","","","100","Fate","Twisted, Chutez & Ladderz, R3mark","GBRKQ2245602","DirtySnatcha Records"
"Fate","","DSR-LAB-184","","","","White","Drew","","CA","","LAB10 Publishing","1262829440","","","100","Fate","Twisted, Chutez & Ladderz, R3mark","GBRKQ2245602","DirtySnatcha Records"
"Fate","","DSR-LAB-184","","","","Kramer","Jacob","","CA","","LAB10 Publishing","1262829440","","","100","Fate","Twisted, Chutez & Ladderz, R3mark","GBRKQ2245602","DirtySnatcha Records"
"Half Life","","DSR-LAB-185","","","","Page","Chad","","CA","","LAB10 Publishing","1262829440","","","100","Half Life","Twisted, Chutez & Ladderz, R3mark","GBRKQ2245644","DirtySnatcha Records"
"Half Life","","DSR-LAB-185","","","","White","Drew","","CA","","LAB10 Publishing","1262829440","","","100","Half Life","Twisted, Chutez & Ladderz, R3mark","GBRKQ2245644","DirtySnatcha Records"
"Half Life","","DSR-LAB-185","","","","Kramer","Jacob","","CA","","LAB10 Publishing","1262829440","","","100","Half Life","Twisted, Chutez & Ladderz, R3mark","GBRKQ2245644","DirtySnatcha Records"
"Spacecraft","","DSR-LAB-186","","","","Berndt","Nathon Allen","","CA","","LAB10 Publishing","1262829440","","","100","Spacecraft","Whiskers","USLZJ2046489","DirtySnatcha Records"
"Demon Hunter","","DSR-LAB-187","","","","Zubah","Theo","","CA","","LAB10 Publishing","1262829440","","","100","Demon Hunter","Zubah","QZ5FN2003847","DirtySnatcha Records"
