"Reporting Period",Label,"Release Name","Release Version","Release Artists","UPC Code",Catalogue,"Track Title","Mix Version","ISRC Code","Track Artists","Digital Service Provider","Activity Period",Territory,Delivery,"Content Type","Sale or Void",Count,"Royalty ($US)"
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",USA,Streaming,Single,Void,0,-2.269989000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.989534000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.837734000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.427756000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.227038000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.149673000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.111896000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.070593000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.064729000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.060551000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,4,-0.059600000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.055543000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.050175000000
AUG-24,"DirtySnatcha Records",Riddimption,,"Nothing x Hurts",198622420181,DSR136,Riddimption,,QZWV32419969,"Nothing x Hurts","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,2,-0.048800000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.034383000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.034361000000
AUG-24,"DirtySnatcha Records","Keep Moving","Aelius, Voyager, Wilco Beats Remix",DirtySnatcha,198342499863,DSR0083A,"Keep Moving","Aelius, Voyager, Wilco Beats Remix",QZWDD2263373,"DirtySnatcha, Aelius, Voyager, Wilco Beats",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.030590000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,"Beatport Promotional Expense","August 2024",USA,Download,Single,Void,2,-0.029800000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.026092000000
AUG-24,"DirtySnatcha Records",Bloodthirsty,,Howker,198342475331,DSR0004A,Bloodthirsty,,GBWUL1958037,Howker,Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.022690000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",MEX,Streaming,Single,Void,0,-0.022534000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.022400000000
AUG-24,"DirtySnatcha Records","Spectre Season",,Artifact,198342479643,,"Spectre Season",,QZWDD2336449,Artifact,"Beatport Promotional Expense","August 2024",USA,Download,Release,Void,1,-0.022400000000
AUG-24,"DirtySnatcha Records","Keep Moving","Audigy Remix",DirtySnatcha,197999143198,,"Keep Moving","Audigy Remix",QZWV32320452,"DirtySnatcha, Audigy","Beatport Promotional Expense","August 2024",USA,Download,Release,Void,1,-0.022400000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.020830000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.019830000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",NLD,Streaming,Single,Void,0,-0.019554000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.018169000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",CAN,Download,Single,Void,1,-0.017900000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.017763000000
AUG-24,"DirtySnatcha Records",Riddimption,,"Nothing x Hurts",198622420181,DSR136,Riddimption,,QZWV32419969,"Nothing x Hurts","Beatport Promotional Expense","August 2024",THA,Download,Single,Void,1,-0.016900000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",FRA,Streaming,Single,Void,0,-0.016452000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",MEX,Streaming,Single,Void,0,-0.016318000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.015299000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",NOR,Streaming,Single,Void,0,-0.015249000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.014900000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",USA,Download,Release,Void,1,-0.014900000000
AUG-24,"DirtySnatcha Records","Take A Trip","DirtySnatcha Remix","HEXED, Labs",198342492369,DSR0086A,"Take A Trip","DirtySnatcha Remix",QZ5FN2303924,"HEXED, Labs, DirtySnatcha","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.014900000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"Watch Out",,USLZJ2405588,CRiiOZ,"Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.014900000000
AUG-24,"DirtySnatcha Records","Spectre Season",,Artifact,198342479643,DSR0101A,"Spectre Season",,QZWDD2336449,Artifact,"Beatport Promotional Expense","August 2024",NZL,Download,Single,Void,1,-0.014900000000
AUG-24,"DirtySnatcha Records","No Traces",,"Trenches (US), Virg™",198342555309,DSR130B,"No Traces",,GBRKQ2472806,"Trenches (US), Virg™","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.014900000000
AUG-24,"DirtySnatcha Records",WTF,,"BBX, Sloth",198342356135,DSR131,WTF,,GBRKQ2471312,"BBX, Sloth","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.014900000000
AUG-24,"DirtySnatcha Records",Riddimption,,"Nothing x Hurts",198622420181,,Riddimption,,QZWV32419969,"Nothing x Hurts","Beatport Promotional Expense","August 2024",USA,Download,Release,Void,1,-0.013600000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",FRA,Streaming,Single,Void,0,-0.013308000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",NZL,Streaming,Single,Void,0,-0.012660000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.012110000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",NOR,Streaming,Single,Void,0,-0.011860000000
AUG-24,"DirtySnatcha Records",Riddimption,,"Nothing x Hurts",198622420181,DSR136,Riddimption,,QZWV32419969,"Nothing x Hurts","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.011800000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",CHE,Streaming,Single,Void,0,-0.010730000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",NLD,Streaming,Single,Void,0,-0.010528000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",JPN,Streaming,Single,Void,0,-0.009999000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",AUS,Download,Single,Void,1,-0.009700000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",ESP,Streaming,Single,Void,0,-0.009462000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",FIN,Streaming,Single,Void,0,-0.009379000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.009133000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",SWE,Streaming,Single,Void,0,-0.008986000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",FRA,Streaming,Single,Void,0,-0.008871000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",FRA,Streaming,Single,Void,0,-0.008731000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",BRA,Streaming,Single,Void,0,-0.007759000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.007452000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",BEL,Streaming,Single,Void,0,-0.007423000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",BRA,Streaming,Single,Void,0,-0.006832000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",ISR,Streaming,Single,Void,0,-0.006630000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",NLD,Streaming,Single,Void,0,-0.006017000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",SWE,Streaming,Single,Void,0,-0.005990000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",DNK,Streaming,Single,Void,0,-0.005758000000
AUG-24,"DirtySnatcha Records","Keep Moving","Aelius, Voyager, Wilco Beats Remix",DirtySnatcha,198342499863,DSR0083A,"Keep Moving","Aelius, Voyager, Wilco Beats Remix",QZWDD2263373,"DirtySnatcha, Aelius, Voyager, Wilco Beats",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.005479000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",BEL,Streaming,Single,Void,0,-0.005451000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",CHL,Streaming,Single,Void,0,-0.005238000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.005177000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.005124000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",NOR,Streaming,Single,Void,0,-0.005083000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",IRL,Streaming,Single,Void,0,-0.005001000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",SVK,Streaming,Single,Void,0,-0.004895000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",MEX,Streaming,Single,Void,0,-0.004734000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",MEX,Streaming,Single,Void,0,-0.004634000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.004566000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",BRA,Streaming,Single,Void,0,-0.004554000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",NLD,Streaming,Single,Void,0,-0.004512000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",ITA,Streaming,Single,Void,0,-0.004496000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",HKG,Streaming,Single,Void,0,-0.004495000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",BEL,Streaming,Single,Void,0,-0.004494000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",FRA,Streaming,Single,Void,0,-0.004295000000
AUG-24,"DirtySnatcha Records","Keep Moving","Aelius, Voyager, Wilco Beats Remix",DirtySnatcha,198342499863,DSR0083A,"Keep Moving","Aelius, Voyager, Wilco Beats Remix",QZWDD2263373,"DirtySnatcha, Aelius, Voyager, Wilco Beats",Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.004174000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.004174000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",BRA,Streaming,Single,Void,0,-0.004071000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",AUT,Streaming,Single,Void,0,-0.003970000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",AUT,Streaming,Single,Void,0,-0.003970000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",FIN,Streaming,Single,Void,0,-0.003960000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious",Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.003883000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",DNK,Streaming,Single,Void,0,-0.003838000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",BLR,Streaming,Single,Void,0,-0.003800000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",NZL,Streaming,Single,Void,0,-0.003798000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",NZL,Streaming,Single,Void,0,-0.003798000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",NZL,Streaming,Single,Void,0,-0.003798000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",ITA,Streaming,Single,Void,0,-0.003780000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious",Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.003725000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",HUN,Streaming,Single,Void,0,-0.003529000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",POL,Streaming,Single,Void,0,-0.003336000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",JPN,Streaming,Single,Void,0,-0.003332000000
AUG-24,"DirtySnatcha Records",Bloodthirsty,,Howker,198342475331,DSR0004A,Bloodthirsty,,GBWUL1958037,Howker,Spotify,"August 2024",BRA,Streaming,Single,Void,0,-0.003195000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",ESP,Streaming,Single,Void,0,-0.003059000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",ITA,Streaming,Single,Void,0,-0.003038000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",NLD,Streaming,Single,Void,0,-0.003008000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",SWE,Streaming,Single,Void,0,-0.002994000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",ITA,Streaming,Single,Void,0,-0.002915000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",BRA,Streaming,Single,Void,0,-0.002907000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",ARG,Streaming,Single,Void,0,-0.002879000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",HUN,Streaming,Single,Void,0,-0.002776000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious",Spotify,"August 2024",BRA,Streaming,Single,Void,0,-0.002760000000
AUG-24,"DirtySnatcha Records","Keep Moving","Aelius, Voyager, Wilco Beats Remix",DirtySnatcha,198342499863,DSR0083A,"Keep Moving","Aelius, Voyager, Wilco Beats Remix",QZWDD2263373,"DirtySnatcha, Aelius, Voyager, Wilco Beats",Spotify,"August 2024",BEL,Streaming,Single,Void,0,-0.002725000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",BEL,Streaming,Single,Void,0,-0.002725000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",CHE,Streaming,Single,Void,0,-0.002719000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",CZE,Streaming,Single,Void,0,-0.002691000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",LTU,Streaming,Single,Void,0,-0.002687000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",CHL,Streaming,Single,Void,0,-0.002685000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",ROM,Streaming,Single,Void,0,-0.002656000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",CZE,Streaming,Single,Void,0,-0.002593000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",MEX,Streaming,Single,Void,0,-0.002317000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",SLV,Streaming,Single,Void,0,-0.002314000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",ZAF,Streaming,Single,Void,0,-0.002261000000
