"Reporting Period",Label,"Release Name","Release Version","Release Artists","UPC Code",Catalogue,"Track Title","Mix Version","ISRC Code","Track Artists","Digital Service Provider","Activity Period",Territory,Delivery,"Content Type","Sale or Void",Count,"Royalty ($US)"
AUG-24,"DirtySnatcha Records","Loose It","BOU$HY Remix","Eazley, Autokorekt",198342491560,DSR0039A,"Loose It","BOU$HY Remix",GBRKQ2109631,"Eazley, Autokorekt, BOU$HY",Spotify,"August 2024",MEX,Streaming,Single,Sale,2,0.001470000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",CHE,Streaming,Single,Sale,3,0.001476000000
AUG-24,"DirtySnatcha Records","Round 2",,"Nekz, Meechie Murda",197999919441,DSR121,"Round 2",,QZ5FN2445592,"Nekz, Meechie Murda",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001482000000
AUG-24,"DirtySnatcha Records",Shook,,BBX,198342479957,DSR0094A,Shook,,QZTV32366682,BBX,Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001482000000
AUG-24,"DirtySnatcha Records",Riptide,,"David Vance, Blue",198342508046,DSR0064A,Riptide,,GBRKQ2211179,"David Vance, Blue",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001482000000
AUG-24,"DirtySnatcha Records","Riddim Gang",,"Megahurtz, Alienpark",198342478288,DSR0020A,"Riddim Gang",,QZ5FN2074245,"Megahurtz, Alienpark",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001482000000
AUG-24,"DirtySnatcha Records","Need U","Dobadlyy Remix","DirtySnatcha, Autokorekt",198342491317,DSR0033A,"Need U","Dobadlyy Remix",QZ5FN2114150,"DirtySnatcha, Autokorekt, Dobadlyy",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001482000000
AUG-24,"DirtySnatcha Records",Maniac,,Sinatra,197999611932,DSR114,Maniac,,QZZEB2305800,Sinatra,Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001482000000
AUG-24,"DirtySnatcha Records",WDGAF,,CRiiOZ,197999026187,DSR0102,WDGAF,,QZWDE2357423,CRiiOZ,Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001482000000
AUG-24,"DirtySnatcha Records","Run It Up",,"CHRMNDRS, Future Exit",198342476673,DSR0010A,"Run It Up",,GBWUL2081365,"CHRMNDRS, Future Exit","Apple Music","August 2024",MEX,Streaming,Single,Sale,1,0.001486000000
AUG-24,"DirtySnatcha Records","Fight Time",,Megahurtz,198342492123,DSR0042A,"Fight Time",,GBRKQ2178616,Megahurtz,Snap,"August 2024",DEU,Streaming,"User Generated Content",Sale,1,0.001497000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","YouTube Content ID","August 2024",ROM,UGC,"Sound Recording",Sale,1,0.001511000000
AUG-24,"DirtySnatcha Records","Eight Six",,BBX,198342480014,DSR0092A,"Eight Six",,QZTV32366095,BBX,Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001516000000
AUG-24,"DirtySnatcha Records","Take A Trip","DirtySnatcha Remix","HEXED, Labs",198342492369,DSR0086A,"Take A Trip","DirtySnatcha Remix",QZ5FN2303924,"HEXED, Labs, DirtySnatcha",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001516000000
AUG-24,"DirtySnatcha Records",Bloodthirsty,,Howker,198342475331,DSR0004A,Bloodthirsty,,GBWUL1958037,Howker,Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001516000000
AUG-24,"DirtySnatcha Records",Destroy,,"In Orbit Dubz, DSTRTN",198342501504,DSR0079A,Destroy,,QZWDD2257331,"In Orbit Dubz, DSTRTN",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001516000000
AUG-24,"DirtySnatcha Records",Hypnotize,,"In Orbit Dubz",197999477019,DSR113,Hypnotize,,QZZ8B2327916,"In Orbit Dubz",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001516000000
AUG-24,"DirtySnatcha Records","Need U","Ennaut Remix","DirtySnatcha, Autokorekt",198342500538,DSR0082A,"Need U","Ennaut Remix",QZWDD2263341,"DirtySnatcha, Autokorekt, Ennaut","YouTube Streaming","August 2024",USA,Streaming,"Art Track",Sale,1,0.001518000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",JPN,Streaming,Single,Sale,1,0.001521000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Amazon Ad Supported","August 2024",GBR,Streaming,Single,Sale,1,0.001524000000
AUG-24,"DirtySnatcha Records","Spectre Season",,Artifact,198342479643,DSR0101A,"Spectre Season",,QZWDD2336449,Artifact,Spotify,"August 2024",NLD,Streaming,Single,Sale,2,0.001526000000
AUG-24,"DirtySnatcha Records","Black & Gold",,BBX,198342479889,DSR0096A,"Eight Six",,QZTV32366095,BBX,"Apple Music","August 2024",KAZ,Streaming,Single,Sale,1,0.001541000000
AUG-24,"DirtySnatcha Records","Keep Moving","Aelius, Voyager, Wilco Beats Remix",DirtySnatcha,198342499863,DSR0083A,"Keep Moving","Aelius, Voyager, Wilco Beats Remix",QZWDD2263373,"DirtySnatcha, Aelius, Voyager, Wilco Beats","Apple Music","August 2024",KAZ,Streaming,Single,Sale,1,0.001541000000
