VISDATA
23
0 9  2 8 21 20 14 3 15 16 9 
1 12  22 18 13 10 5 11 9 4 8 14 21 16 
2 11  8 0 3 14 4 21 10 20 16 15 9 
3 14  8 10 2 18 14 21 22 13 15 4 20 16 0 9 
4 16  14 21 10 16 18 9 22 13 2 20 15 3 8 11 1 5 
5 10  13 22 11 18 1 10 9 4 8 14 
6 0
7 0
8 17  14 21 10 9 16 18 2 3 22 15 20 13 0 4 11 1 5 
9 17  10 18 8 22 13 14 21 4 16 11 20 15 1 2 3 5 0 
10 14  13 9 22 11 8 4 1 3 5 18 2 14 21 16 
11 12  18 22 10 5 13 9 1 4 8 14 21 16 
12 0
13 13  10 18 5 1 9 11 22 8 4 3 14 21 16 
14 17  8 16 4 9 3 2 15 0 21 20 10 18 22 13 11 1 5 
15 10  8 4 3 14 20 21 2 0 16 9 
16 16  14 8 21 4 9 3 2 0 15 20 10 18 22 13 11 1 
17 0
18 13  13 11 9 5 1 8 4 22 10 3 14 21 16 
19 0
20 10  8 4 3 0 15 2 14 21 9 16 
21 16  8 4 16 9 3 2 0 14 15 20 10 18 22 13 11 1 
22 13  10 11 5 9 1 18 8 4 13 3 14 21 16 
