"Retailer","Consumption Type","Label Name","Play Type","Quantity"
"Amazon","Streaming","Dirtysnatcha Records","",7354
"Apple Music","Streaming","Dirtysnatcha Records","",112098
"Deezer","Streaming","Dirtysnatcha Records","",1425
"Line Music","Streaming","Dirtysnatcha Records","",24
"Pandora","Streaming","Dirtysnatcha Records","play",1805
"Pandora","Streaming","Dirtysnatcha Records","replay",23
"Pandora","Streaming","Dirtysnatcha Records","spin",3239
"Spotify","Streaming","Dirtysnatcha Records","",650111
"YouTube","Streaming","Dirtysnatcha Records","",911845
