PRIMARY TITLE *,MLC SONG CODE,MEMBERS SONG ID,ISWC          ,AKA TITLE †,AKA TITLE TYPE CODE †,WRITER LAST NAME *,WRITER FIRST NAME ,WRITER IPI NUMBER,WRITER ROLE CODE *,MLC PUBLISHER NUMBER,PUBLISHER NAME *,PUBLISHER IPI NUMBER *,ADMINISTRATOR MLC PUBLISHER NUMBER,ADMINISTRATOR NAME †,COLLECTION SHARE *,RECORDING TITLE †,RECORDING ARTIST NAME †,RECORDING ISRC,RECORDING LABEL
Heavy Duty,,DSR-018,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Heavy Duty,DirtySnatcha,QM42K1907604,DirtySnatcha
Higher,,DSR-019,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Higher,DirtySnatcha,QM42K1880165,Dead Cell Audio
Hoes,,DSR-020,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Hoes,DirtySnatcha,QM42K1607007,DirtySnatcha
Hold On,,DSR-021,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Hold On,DirtySnatcha,,Wubaholics
Home,,DSR-066,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Home,DirtySnatcha,QZTV32416252,DirtySnatcha
Hot Girl Riddimm,,DSR-022,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Hot Girl Riddimm,DirtySnatcha,QZHN71968576,DirtySnatcha
Hustler,,DSR-023,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Hustler,DirtySnatcha,QM42K1810908,DirtySnatcha
I'm a Savage,,DSR-025,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,I'm a Savage,DirtySnatcha,USLZJ2122508,DirtySnatcha
IGDITB,,DSR-026,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,IGDITB,DirtySnatcha,QM42K1849049,DirtySnatcha Records
It Ain't Over,,DSR-067,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,It Ain't Over,DirtySnatcha,GBWUL2041081,DirtySnatcha
K.O.,,DSR-068,T3245484140,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,K.O.,DirtySnatcha,GBRKQ2322533,DirtySnatcha
Keep Moving,,DSR-027,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Keep Moving,DirtySnatcha,QZTRX2132962,DirtySnatcha
Krew,,DSR-028,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Krew,DirtySnatcha,QM42K1810725,DirtySnatcha
Losing Myself,,DSR-029,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Losing Myself,DirtySnatcha,,DirtySnatcha
Love Is On Fire,,DSR-030,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Love Is On Fire,DirtySnatcha,CA5KR2019733,ElectroStep Network
Lover,,DSR-031,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Lover,DirtySnatcha,QZ5FN2068874,DirtySnatcha
Lover (Urbanstep Remix),,DSR-069,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Lover (Urbanstep Remix),DirtySnatcha,USLZJ2286477,DirtySnatcha
More Than This,,DSR-032,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,33.34,More Than This,DirtySnatcha,QZHCR2000101,Subsidia
Move,,DSR-033,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Move,DirtySnatcha,QM42K1847914,DirtySnatcha Records
Move Back,,DSR-070,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Move Back,DirtySnatcha,QZ5FN2200966,DirtySnatcha
